imdbID,actorID,actorName
137523,93,Brad Pitt
97239,101,Dan Aykroyd
97239,151,Morgan Freeman
169547,228,Kevin Spacey
113497,245,Robin Williams
169547,301,Thora Birch
137523,307,Helena Bonham Carter
113497,379,Kirsten Dunst
169547,836,Scott Bakula
169547,906,Annette Bening
169547,1251,Peter Gallagher
113497,1372,Bonnie Hunt
137523,1467,Jared Leto
137523,1533,Meat Loaf
113497,1564,Bebe Neuwirth
137523,1570,Edward Norton
97239,1788,Jessica Tandy
169547,2546,Mena Suvari
169547,4747,Wes Bentley
113497,4979,David Alan Grier
169547,5049,Allison Janney
137523,28625,David Andrews
2297164,46277,Bae Doona
137523,47248,Eion Bailey
137523,94163,Eugenie Bondurant
2297164,94435,Bong Joon Ho
113497,120410,Laura Bell Bundy
169547,158626,John Cho
113497,165101,Patricia Clarkson
169547,177933,Chris Cooper
113497,404993,Jonathan Hyde
97239,526985,Patti LuPone
137523,564697,Holt McCallany
97239,571964,Ray McKinnon
113497,682300,Bradley Pierce
169547,807291,Amber Smith
113497,919798,Frank Welker
169547,935441,Marissa Jaret Winokur
137523,935616,Matt Winston
2297164,3011350,Ma Dong-seok
