title	release_year	genres	tags_with_scores
Jumanji	1995	Adventure, Children, Fantasy	adventure
: 0.976, children
: 0.959, fantasy
: 0.95175, kids
: 0.95, special effects
: 0.932, jungle
: 0.9185, fantasy world
: 0.879, fun movie
: 0.87075, childhood
: 0.8685, animals
: 0.86725, family
: 0.8495, based on a book
: 0.8175, lions
: 0.8145, big budget
: 0.77525, video game
: 0.75375, good
: 0.73975, original
: 0.73225, fun
: 0.72675, mentor
: 0.705, computer game
: 0.6965, magic
: 0.69025, scary
: 0.689, entertaining
: 0.6805, based on book
: 0.64675, runaway
: 0.6435, destiny
: 0.64175, great
: 0.64025, action
: 0.64025, chase
: 0.6395, spiders
: 0.6375, monkey
: 0.62875, bullying
: 0.627, nostalgic
: 0.61525, effects
: 0.6075, dynamic cgi action
: 0.60575, bad cgi
: 0.59825, story
: 0.581, saturn award (best special effects)
: 0.5795, kids and family
: 0.5635, good action
: 0.561, comedy
: 0.55575, supernatural
: 0.54825, creativity
: 0.54575, pg-13
: 0.542, dinosaurs
: 0.5405, cgi
: 0.54, based on a video game
: 0.5375, catastrophe
: 0.53575, computer animation
: 0.51975, adaptation
: 0.5145, e
