mlID,mlTitle,releaseYear
1,Toy Story,1995.0
2,Jumanji,1995.0
3,Grumpier Old Men,1995.0
4,Waiting to Exhale,1995.0
5,Father of the Bride Part II,1995.0
6,Heat,1995.0
7,Sabrina,1995.0
8,Tom and Huck,1995.0
9,Sudden Death,1995.0
10,GoldenEye,1995.0
11,"American President, The",1995.0
12,Dracula: Dead and Loving It,1995.0
13,Balto,1995.0
14,Nixon,1995.0
15,Cutthroat Island,1995.0
16,Casino,1995.0
17,Sense and Sensibility,1995.0
18,Four Rooms,1995.0
19,Ace Ventura: When Nature Calls,1995.0
20,Money Train,1995.0
21,Get Shorty,1995.0
22,Copycat,1995.0
23,Assassins,1995.0
24,Powder,1995.0
25,Leaving Las Vegas,1995.0
26,Othello,1995.0
27,Now and Then,1995.0
28,Persuasion,1995.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0
31,Dangerous Minds,1995.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995.0
33,Wings of Courage,1995.0
34,Babe,1995.0
35,Carrington,1995.0
36,Dead Man Walking,1995.0
37,Across the Sea of Time,1995.0
38,It Takes Two,1995.0
39,Clueless,1995.0
40,"Cry, the Beloved Country",1995.0
41,Richard III,1995.0
42,Dead Presidents,1995.0
43,Restoration,1995.0
44,Mortal Kombat,1995.0
45,To Die For,1995.0
46,How to Make an American Quilt,1995.0
47,Seven (a.k.a. Se7en),1995.0
48,Pocahontas,1995.0
49,When Night Is Falling,1995.0
50,"Usual Suspects, The",1995.0
51,Guardian Angel,1994.0
52,Mighty Aphrodite,1995.0
53,Lamerica,1994.0
54,"Big Green, The",1995.0
55,Georgia,1995.0
56,Kids of the Round Table,1995.0
57,Home for the Holidays,1995.0
58,"Postman, The (Postino, Il)",1994.0
59,"Confessional, The (Confessionnal, Le)",1995.0
60,"Indian in the Cupboard, The",1995.0
61,Eye for an Eye,1996.0
62,Mr. Holland's Opus,1995.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0
64,Two if by Sea,1996.0
65,Bio-Dome,1996.0
66,Lawnmower Man 2: Beyond Cyberspace,1996.0
67,Two Bits,1995.0
68,French Twist (Gazon maudit),1995.0
69,Friday,1995.0
70,From Dusk Till Dawn,1996.0
71,Fair Game,1995.0
