tmdbID,voteCount,selectID
27205,34495,1
157336,32571,2
155,30619,3
19995,29815,4
24428,29166,5
293660,28894,6
299536,27713,7
550,27238,8
118340,26638,9
680,25893,10
13,25409,11
671,25379,12
1726,24874,13
68718,24672,14
278,24649,15
299534,23857,16
603,23815,17
597,23637,18
475557,23425,19
120,23323,20
122,22334,21
11324,22318,22
106646,22222,23
99861,21754,24
271110,21541,25
49026,21335,26
68721,21064,27
284054,21053,28
284052,20935,29
76341,20911,30
16869,20746,31
70160,20636,32
672,20390,33
283995,20353,34
121,20274,35
1771,20269,36
297761,20097,37
673,20038,38
10195,20023,39
10138,19756,40
272,19561,41
284053,19539,42
150540,19463,43
135397,19414,44
807,19403,45
674,19287,46
22,19233,47
12445,19183,48
11,19155,49
297762,18954,50
14160,18857,51
102899,18730,52
238,18677,53
286217,18525,54
105,18442,55
140607,18352,56
675,18177,57
767,18127,58
263115,18116,59
12,18061,60
346364,18018,61
245891,17923,62
259316,17892,63
12444,17782,64
354912,17742,65
100402,17692,66
557,17653,67
10681,17446,68
210577,17381,69
49051,17356,70
585,17189,71
862,17152,72
281957,17114,73
209112,17081,74
8587,16991,75
98,16962,76
37165,16827,77
9806,16584,78
329865,16564,79
496243,16430,80
76338,16359,81
1930,16352,82
381288,16345,83
383498,16324,84
694,16205,85
24,16188,86
101299,16182,87
77338,16083,88
419430,16081,89
205596,15973,90
424694,15965,91
497,15937,92
198663,15901,93
18785,15812,94
1891,15773,95
808,15765,96
2062,15728,97
207703,15664,98
313369,15625,99
109445,15520,100
374720,15464,101
269149,15230,102
240832,15181,103
329,15141,104
129,14913,105
321612,14871,106
58,14868,107
177572,14732,108
75656,14726,109
131631,14725,110
335983,14724,111
1124,14696,112
6479,14675,113
857,14658,114
299537,14657,115
339403,14634,116
424,14594,117
1892,14591,118
37724,14466,119
49047,14463,120
127585,14433,121
333339,14430,122
72190,14409,123
640,14393,124
330459,14354,125
181808,14312,126
49521,14310,127
20352,14147,128
558,14096,129
324857,14024,130
118,13967,131
244786,13891,132
1422,13792,133
120467,13787,134
10193,13777,135
77,13723,136
38,13709,137
101,13652,138
44214,13567,139
752,13556,140
1893,13550,141
152601,13407,142
285,13345,143
122917,13301,144
500,13296,145
273248,13291,146
348,13206,147
10528,13170,148
12155,13149,149
1865,13126,150
559,13098,151
447332,13079,152
297802,12965,153
393,12916,154
920,12906,155
863,12904,156
607,12836,157
137113,12828,158
1271,12812,159
353486,12796,160
78,12770,161
1895,12753,162
324786,12668,163
8966,12638,164
62177,12591,165
363088,12512,166
102651,12477,167
274870,12429,168
87827,12426,169
264660,12362,170
102382,12349,171
335984,12331,172
425,12296,173
1894,12288,174
141052,12263,175
57158,12255,176
466272,12237,177
637,12218,178
246655,12215,179
194662,12157,180
157350,12118,181
190859,12107,182
10191,12089,183
260513,12061,184
162,12049,185
324552,12007,186
185,11946,187
4922,11899,188
218,11874,189
165,11817,190
280,11744,191
769,11726,192
64690,11718,193
68726,11567,194
131634,11557,195
82690,11546,196
141,11515,197
72105,11513,198
64682,11505,199
399055,11490,200
85,11483,201
19908,11466,202
127380,11429,203
296096,11414,204
398818,11367,205
82693,11327,206
809,11323,207
14161,11300,208
14,11260,209
70981,11255,210
37799,11190,211
166426,11176,212
546554,11156,213
489,11111,214
216015,11101,215
350,11089,216
103,11081,217
332562,11079,218
228150,11021,219
1724,11006,220
23483,10997,221
2048,10972,222
6977,10964,223
61791,10799,224
161,10774,225
745,10754,226
194,10750,227
111,10749,228
146233,10748,229
73,10729,230
138843,10683,231
222935,10655,232
11036,10629,233
76203,10603,234
62,10575,235
49530,10556,236
812,10547,237
490132,10542,238
38757,10539,239
8358,10531,240
93456,10523,241
9502,10503,242
601,10467,243
8681,10432,244
351286,10431,245
115,10390,246
119450,10321,247
207,10311,248
372058,10303,249
338952,10203,250
562,10202,251
291805,10172,252
604,10128,253
953,10103,254
266856,10069,255
242582,10032,256
75612,10015,257
310,10010,258
13223,10003,259
168259,9988,260
211672,9969,261
36557,9959,262
18,9947,263
12405,9916,264
62211,9903,265
51876,9900,266
206647,9893,267
84892,9844,268
1417,9839,269
411,9808,270
1359,9797,271
45243,9789,272
58574,9742,273
337339,9719,274
458156,9711,275
293167,9696,276
196,9679,277
41154,9675,278
294254,9669,279
600,9665,280
510,9650,281
64688,9650,282
59967,9606,283
629,9604,284
1949,9597,285
787,9576,286
343668,9560,287
578,9541,288
1593,9538,289
262500,9494,290
453,9475,291
420817,9441,292
359940,9418,293
854,9401,294
283366,9401,295
652,9376,296
19913,9359,297
197,9347,298
420818,9325,299
13475,9314,300
89,9301,301
539,9272,302
10020,9256,303
392044,9243,304
608,9234,305
405774,9227,306
56292,9215,307
1402,9159,308
605,9118,309
301528,9093,310
950,9085,311
330457,9060,312
5915,9026,313
627,9017,314
381284,8958,315
8960,8953,316
82702,8929,317
10674,8920,318
110415,8905,319
602,8884,320
70,8874,321
316029,8844,322
287947,8840,323
9738,8765,324
679,8758,325
515001,8724,326
17654,8721,327
4935,8720,328
264644,8684,329
772,8671,330
591,8646,331
2501,8618,332
18239,8614,333
9741,8607,334
54138,8589,335
9487,8541,336
47971,8541,337
87,8505,338
13183,8485,339
9479,8484,340
399579,8450,341
124905,8360,342
50620,8352,343
423,8351,344
176,8327,345
564,8327,346
318846,8320,347
810,8318,348
107,8309,349
138832,8306,350
50619,8228,351
24021,8226,352
68724,8224,353
3933,8216,354
177677,8182,355
45269,8145,356
156022,8145,357
620,8143,358
109439,8097,359
954,8089,360
466282,8045,361
76492,8037,362
254128,8036,363
281338,8030,364
474350,8021,365
300668,8014,366
180,8013,367
152532,8004,368
10625,7931,369
348350,7904,370
87101,7870,371
158015,7870,372
391713,7861,373
273481,7836,374
126889,7822,375
450465,7793,376
670,7790,377
537915,7781,378
122906,7781,379
402900,7780,380
50646,7773,381
259693,7769,382
314365,7765,383
747,7760,384
429,7751,385
68734,7750,386
74,7728,387
744,7710,388
45612,7694,389
8355,7680,390
63,7677,391
278927,7668,392
389,7658,393
217,7629,394
91314,7581,395
315837,7581,396
39254,7571,397
339846,7545,398
187,7541,399
50014,7538,400
353081,7537,401
337167,7511,402
58595,7503,403
28,7485,404
2108,7478,405
187017,7460,406
335797,7458,407
198184,7438,408
435,7436,409
35,7430,410
406997,7421,411
4348,7394,412
50544,7394,413
4951,7386,414
1979,7381,415
333371,7377,416
114,7371,417
121856,7328,418
256591,7321,419
95,7320,420
10764,7317,421
10144,7316,422
338970,7316,423
254,7297,424
22970,7288,425
275,7282,426
106,7265,427
341174,7259,428
137,7255,429
9552,7247,430
594,7241,431
137106,7233,432
290250,7230,433
128,7228,434
27578,7225,435
340666,7196,436
22538,7155,437
268,7152,438
336843,7141,439
1366,7135,440
2503,7127,441
2105,7125,442
8392,7124,443
49013,7115,444
116745,7080,445
257344,7061,446
57800,7038,447
487558,7037,448
345940,7018,449
44115,7012,450
404368,6999,451
1372,6999,452
339964,6987,453
2502,6977,454
359724,6972,455
32657,6964,456
14836,6950,457
312221,6949,458
4638,6929,459
454983,6926,460
300669,6922,461
214756,6892,462
1954,6890,463
493922,6880,464
408,6840,465
59436,6835,466
11970,6823,467
168672,6821,468
395992,6811,469
44912,6806,470
223702,6789,471
458723,6776,472
44826,6763,473
621,6760,474
62213,6754,475
10192,6751,476
282035,6741,477
7326,6736,478
153,6734,479
